id	id_ciudad_1	id_ciudad_2	puntaje	distancia
108	16	9	170485	235.974954028
109	16	10	212457	658.258584764
110	16	11	408115	747.7806902
111	16	12	569589	790.672368535
112	16	13	137419	689.102672133
113	16	14	252193	1053.48552735
114	16	15	148506	414.138664573
115	17	1	182099	558.159037103
116	17	2	1431895	210.551799076
117	17	3	116431	366.328188307
118	17	4	757933	435.713228186
119	17	5	67516	955.672279229
120	17	6	154517	887.951781342
121	17	7	50094	531.900154634
122	17	8	72340	350.859159957
123	17	9	83164	214.436628849
124	17	10	125136	774.975678885
125	17	11	320793	531.716585007
126	17	12	482268	774.063938245
127	17	13	50097	917.554479862
128	17	14	164872	874.29139783
129	17	15	61185	175.146479632
130	17	16	174973	240.001491188
131	18	1	300142	1394.27729009
132	18	3	234474	492.695380164
133	18	4	875976	919.754178501
134	18	5	185559	1783.62659073
135	18	7	168137	1379.70629804
136	18	8	190384	1184.32173118
137	18	10	243179	1094.97652351
138	18	12	600311	1385.55360872
139	18	14	282915	1711.66545344
140	18	15	179228	1014.82147553
141	18	16	293017	660.105699777
142	18	17	205695	851.999926763
143	19	1	179212	1337.9851546
144	19	2	1429008	889.462517332
145	19	3	113544	563.60341793
146	19	4	755046	630.008245048
147	19	5	64629	1578.98879423
148	19	6	151631	234.918880276
149	19	7	47207	1241.02441328
150	19	8	69454	1035.47977553
151	19	9	80277	716.405215622
152	19	10	122249	693.253437374
153	19	11	317907	1276.07540826
154	19	12	479381	1055.4826833
155	19	13	47211	258.822519151
156	19	14	161985	1527.14643976
157	19	15	58298	963.778689274
158	19	16	172087	550.115288903
159	19	17	84765	790.115583325
160	20	1	183365	1091.09784051
161	20	2	1433161	616.497858166
162	20	3	117697	294.402168086
163	20	4	759199	502.565467163
164	20	5	68782	1399.2201368
165	20	6	155783	360.900017548
166	20	7	51360	1023.7987654
167	20	8	73606	819.596087655
168	20	9	84430	442.483354876
169	20	10	126402	698.871646372
170	20	11	322059	1003.14787538
171	20	12	483534	967.88230786
172	20	13	51363	480.627577452
173	20	14	166138	1335.75698332
174	20	15	62451	709.412925328
175	20	16	176239	299.068958371
176	20	17	88918	534.270715938
177	20	18	206961	417.67588784
178	20	19	86031	274.12125074
179	21	1	331852	1288.61680316
180	21	2	1581648	795.493298694
181	21	3	266184	447.091292015
182	21	4	907686	668.029097207
183	21	5	217269	1590.28914732
184	21	6	304270	163.543600513
185	21	7	199847	1221.7078865
186	21	8	222093	1017.01356478
187	21	9	232917	618.62361745
188	21	10	274889	799.001152709
189	21	12	632021	1121.60042419
190	21	13	199850	420.781366607
191	21	14	314625	1529.57997276
192	21	15	210938	905.792751444
193	21	16	324726	497.728491765
194	21	17	237405	730.867394683
195	21	18	355448	304.961547608
196	21	19	234518	162.38808953
197	21	20	238671	198.85253377
